date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-02,,San Jose State,W (49-13),5,13,38.5,91,1,60,505,8.4,6,73,596,8.2,4,24,0,28,4,31,0,3,3
2000-09-09,@,Notre Dame,W (27-24),7,15,46.7,103,0,59,274,4.6,4,74,377,5.1,5,14,1,20,6,44,0,1,1
2000-09-23,,Iowa,W (42-13),10,13,76.9,159,5,51,331,6.5,0,64,490,7.7,6,17,0,23,5,55,1,0,1
2000-09-30,,Missouri,W (42-24),11,23,47.8,173,2,53,311,5.9,2,76,484,6.4,11,12,4,27,7,53,0,0,0
2000-10-07,@,Iowa State,W (49-27),7,17,41.2,164,0,60,336,5.6,6,77,500,6.5,7,13,0,20,5,38,0,1,1
2000-10-14,@,Texas Tech,W (56-3),7,14,50.0,98,1,77,442,5.7,6,91,540,5.9,4,25,1,30,9,68,1,1,2
2000-10-21,,Baylor,W (59-0),5,12,41.7,49,0,67,459,6.9,7,79,508,6.4,2,21,0,23,12,109,0,0,0
2000-10-28,@,Oklahoma,L (14-31),12,27,44.4,133,1,43,195,4.5,1,70,328,4.7,6,10,0,16,4,50,1,1,2
2000-11-04,,Kansas,W (56-17),7,8,87.5,69,1,73,493,6.8,7,81,562,6.9,3,26,2,31,3,29,2,0,2
2000-11-11,@,Kansas State,L (28-29),2,13,15.4,39,0,45,200,4.4,3,58,239,4.1,2,8,1,11,11,94,1,1,2
2000-11-24,,Colorado,W (34-32),11,17,64.7,139,0,48,296,6.2,3,65,435,6.7,7,15,1,23,5,51,3,0,3
2000-12-30,N,Northwestern*,W (66-17),,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-25,,TCU,W (21-7),10,18,55.6,151,0,50,159,3.2,3,68,310,4.6,5,9,2,16,5,46,1,1,2
2001-09-01,,Troy,W (42-14),9,16,56.3,127,0,60,330,5.5,5,76,457,6.0,5,19,1,25,4,60,2,1,3
2001-09-08,,Notre Dame,W (27-10),6,9,66.7,88,1,52,182,3.5,2,61,270,4.4,5,10,1,16,10,69,2,0,2
2001-09-20,,Rice,W (48-3),12,15,80.0,205,3,53,292,5.5,4,68,497,7.3,8,16,0,24,4,46,0,0,0
2001-09-29,@,Missouri,W (36-3),8,15,53.3,120,0,72,412,5.7,5,87,532,6.1,6,19,1,26,9,85,1,1,2
2001-10-06,,Iowa State,W (48-14),11,16,68.8,117,0,54,359,6.6,6,70,476,6.8,5,18,2,25,3,40,0,1,1
2001-10-13,@,Baylor,W (48-7),4,9,44.4,47,0,73,641,8.8,7,82,688,8.4,3,27,1,31,4,32,5,0,5
2001-10-20,,Texas Tech,W (41-31),10,22,45.5,196,3,56,335,6.0,2,78,531,6.8,9,19,2,30,9,93,0,2,2
