date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers,outcome,points_for,points_against
2000-09-02,home,San Jose State,W (49-13),14,37,37.8,153,2,29,193,6.7,0,66,346,5.2,6,6,2,14,12,65,0,1,1,W,49,13
2000-09-09,away,Notre Dame,W (27-24),3,15,20.0,40,0,40,184,4.6,1,55,224,4.1,2,7,2,11,8,67,0,1,1,W,27,24
2000-09-23,home,Iowa,W (42-13),19,40,47.5,252,1,31,47,1.5,0,71,299,4.2,11,5,2,18,7,57,0,2,2,W,42,13
2000-09-30,home,Missouri,W (42-24),19,39,48.7,283,1,31,209,6.7,2,70,492,7.0,13,8,1,22,10,95,1,1,2,W,42,24
2000-10-07,away,Iowa State,W (49-27),22,43,51.2,346,2,25,37,1.5,1,68,383,5.6,14,2,2,18,8,71,0,2,2,W,49,27
2000-10-14,away,Texas Tech,W (56-3),22,48,45.8,181,0,12,19,1.6,0,60,200,3.3,9,1,1,11,12,83,0,2,2,W,56,3
2000-10-21,home,Baylor,W (59-0),7,29,24.1,79,0,27,5,0.2,0,56,84,1.5,4,2,1,7,2,20,2,0,2,W,59,0
2000-10-28,away,Oklahoma,L (14-31),20,34,58.8,300,1,35,118,3.4,2,69,418,6.1,12,5,3,20,4,21,0,1,1,L,14,31
2000-11-04,home,Kansas,W (56-17),16,31,51.6,169,0,29,97,3.3,2,60,266,4.4,8,8,1,17,5,49,1,1,2,W,56,17
2000-11-11,away,Kansas State,L (28-29),12,36,33.3,234,2,43,143,3.3,1,79,377,4.8,6,8,3,17,13,103,1,1,2,L,28,29
2000-11-24,home,Colorado,W (34-32),25,41,61.0,254,1,43,197,4.6,3,84,451,5.4,14,12,2,28,3,25,0,2,2,W,34,32
2001-08-25,home,TCU,W (21-7),11,22,50.0,130,1,28,56,2.0,0,50,186,3.7,2,3,1,6,11,85,1,0,1,W,21,7
2001-09-01,home,Troy,W (42-14),15,36,41.7,190,1,35,-25,-0.7,1,71,165,2.3,7,3,3,13,8,53,1,2,3,W,42,14
2001-09-08,home,Notre Dame,W (27-10),16,32,50.0,119,0,30,43,1.4,1,62,162,2.6,6,4,4,14,9,63,2,2,4,W,27,10
2001-09-20,home,Rice,W (48-3),8,25,32.0,169,0,47,196,4.2,0,72,365,5.1,6,10,1,17,7,34,0,2,2,W,48,3
2001-09-29,away,Missouri,W (36-3),16,43,37.2,138,0,23,67,2.9,0,66,205,3.1,6,4,3,13,3,37,0,0,0,W,36,3
2001-10-06,home,Iowa State,W (48-14),13,29,44.8,214,1,38,122,3.2,1,67,336,5.0,8,10,2,20,6,55,0,2,2,W,48,14
2001-10-13,away,Baylor,W (48-7),15,43,34.9,158,0,33,29,0.9,0,76,187,2.5,8,4,2,14,4,43,1,3,4,W,48,7
2001-10-20,home,Texas Tech,W (41-31),34,64,53.1,373,1,17,67,3.9,1,81,440,5.4,15,8,3,26,6,51,1,1,2,W,41,31
2001-10-27,home,Oklahoma,W (20-10),22,50,44.0,234,1,29,105,3.6,0,79,339,4.3,14,6,1,21,6,45,0,2,2,W,20,10
2001-11-03,away,Kansas,W (51-7),8,17,47.1,79,1,42,124,3.0,0,59,203,3.4,3,7,1,11,3,28,1,2,3,W,51,7
2001-11-10,home,Kansas State,W (31-21),4,18,22.2,37,1,44,239,5.4,2,62,276,4.5,2,12,0,14,7,32,0,3,3,W,31,21
2001-11-23,away,Colorado,L (36-62),9,16,56.3,202,1,52,380,7.3,8,68,582,8.6,7,15,3,25,9,75,0,0,0,L,36,62
2002-08-24,home,Arizona State,W (48-10),17,41,41.5,175,0,30,83,2.8,1,71,258,3.6,9,7,1,17,5,63,0,1,1,W,48,10
2002-08-31,home,Troy,W (31-16),11,29,37.9,192,0,41,155,3.8,2,70,347,5.0,5,11,0,16,4,27,1,2,3,W,31,16
2002-09-07,home,Utah State,W (44-13),19,44,43.2,251,1,30,70,2.3,0,74,321,4.3,12,7,0,19,10,71,0,3,3,W,44,13
2002-09-14,away,Penn State,L (7-40),19,31,61.3,259,0,43,217,5.0,4,74,476,6.4,11,12,1,24,3,20,0,0,0,L,7,40
2002-09-28,away,Iowa State,L (14-36),19,32,59.4,220,1,52,192,3.7,3,84,412,4.9,8,12,3,23,4,20,1,2,3,L,14,36
2002-10-05,home,McNeese State,W (38-14),15,36,41.7,234,1,43,121,2.8,1,79,355,4.5,11,7,3,21,3,15,0,0,0,W,38,14
2002-10-12,home,Missouri,W (24-13),14,29,48.3,123,0,30,97,3.2,1,59,220,3.7,6,1,4,11,7,44,0,0,0,W,24,13
2002-10-19,away,Oklahoma State,L (21-24),17,27,63.0,192,2,42,195,4.6,1,69,387,5.6,13,9,0,22,5,30,1,0,1,L,21,24
